source_row_index,date,date_raw,latitude,longitude,altitude_m,velocity_km_s,energy_kilotons,impact_e,energy_joules,mass_kg_est,impactor_diameter_m_est,crater_diameter_m_est,impact_type
0,2025-09-13T22:24:59,2025-09-13 22:24:59,-38.1,-64.8,25.1,17.8,16.7,0.48,69872800000000.0,441060.4721626057,6.54826259603201,2.8911926872696387,surface/ground
1,2025-09-10T11:00:57,2025-09-10 11:00:57,-14.8,-142.4,37.0,,2.8,0.098,11715200000000.0,,,1.8500668729656842,surface/ground
2,2025-09-09T17:49:10,2025-09-09 17:49:10,-2.3,-39.5,24.0,20.7,15.3,0.44,64015200000000.0,298794.3709304768,5.751099015198527,2.828595047651828,surface/ground
3,2025-09-08T10:09:15,2025-09-08 10:09:15,26.4,42.2,28.4,,3.6,0.12,15062400000000.0,,,1.970033195383036,surface/ground
4,2025-08-19T14:08:48,2025-08-19 14:08:48,30.9,131.8,27.5,19.6,65.8,1.6,275307200000000.0,1433294.4606413995,9.699258076492514,4.07337498826005,surface/ground
5,2025-07-11T01:48:33,2025-07-11 01:48:33,-6.6,-167.5,28.0,13.6,3.2,0.11,13388800000000.0,144775.08650519032,4.51708211275909,1.9128698126974997,surface/ground
6,2025-06-26T16:24:57,2025-06-26 16:24:57,33.4,-84.1,32.6,,17.0,0.48,71128000000000.0,,,2.904090521246032,surface/ground
7,2025-06-26T00:37:20,2025-06-26 00:37:20,12.1,-103.6,30.0,19.3,13.2,0.39,55228800000000.0,296538.43056189426,5.736588560798732,2.726097608397507,surface/ground
8,2025-06-21T20:55:14,2025-06-21 20:55:14,-61.3,157.9,56.3,,3.0,0.1,12552000000000.0,,,1.8822540169320587,surface/ground
9,2025-05-31T23:06:33,2025-05-31 23:06:33,21.1,-98.8,47.3,17.8,38.6,1.0,161502400000000.0,1019457.1392500947,8.657975745601052,3.5648786029155426,surface/ground
10,2025-04-28T15:01:15,2025-04-28 15:01:15,-45.1,67.3,31.4,,3.4,0.12,14225600000000.0,,,1.9420823808572079,surface/ground
11,2025-04-21T09:27:34,2025-04-21 09:27:34,-29.1,151.6,41.0,,2.3,0.082,9623200000000.0,,,1.7612859795236133,surface/ground
12,2025-04-08T14:16:48,2025-04-08 14:16:48,-32.2,10.4,44.9,22.6,2.1,0.076,8786400000000.0,34405.200093977604,2.797916419819774,1.7216812216456925,surface/ground
13,2025-03-29T08:12:43,2025-03-29 08:12:43,-49.3,14.3,21.6,12.3,5.9,0.19,24685600000000.0,326334.8535924384,5.922628985592975,2.2290043800223867,surface/ground
14,2025-03-27T16:05:23,2025-03-27 16:05:23,14.3,-111.5,38.1,21.3,104.5,2.4,437228000000000.0,1927430.624435187,10.705812329304031,4.572745084607219,surface/ground
15,2025-03-24T05:51:43,2025-03-24 05:51:43,-70.4,114.2,21.5,28.2,4.9,0.16,20501600000000.0,51560.78668075047,3.201841917448206,2.1278790510888874,surface/ground
16,2025-03-21T05:06:26,2025-03-21 05:06:26,-22.8,123.5,54.2,,3.9,0.13,16317600000000.0,,,2.009851964737799,surface/ground
17,2025-03-18T17:48:32,2025-03-18 17:48:32,-1.5,-30.4,27.0,20.1,11.0,0.33,46024000000000.0,227835.94465483527,5.254129687647396,2.60463031078896,surface/ground
18,2025-03-13T09:46:51,2025-03-13 09:46:51,-7.1,75.9,38.0,28.1,75.0,1.8,313800000000000.0,794822.7606033358,7.968626524633668,4.208847932782123,surface/ground
19,2025-02-22T10:26:08,2025-02-22 10:26:08,28.1,120.0,46.7,15.0,5.5,0.18,23012000000000.0,204551.11111111112,5.068669668390834,2.190224291403605,surface/ground
20,2025-02-22T00:16:50,2025-02-22 00:16:50,-6.9,12.1,35.0,,3.5,0.12,14644000000000.0,,,1.9562075469172593,surface/ground
21,2025-02-12T04:33:39,2025-02-12 04:33:39,73.4,49.3,42.0,21.9,4.0,0.13,16736000000000.0,69790.03773899627,3.5418039562076196,2.0226135706492703,surface/ground
22,2025-02-07T17:25:57,2025-02-07 17:25:57,14.4,-58.0,50.8,20.1,2.4,0.086,10041600000000.0,49709.66065196406,3.1630566764792536,1.7801259425260163,surface/ground
23,2025-02-06T17:52:54,2025-02-06 17:52:54,-1.7,130.0,36.2,17.4,2.0,0.073,8368000000000.0,55278.10807240058,3.2770099839246116,1.700808501002487,surface/ground
24,2025-02-02T16:30:50,2025-02-02 16:30:50,-17.7,24.3,40.0,,4.0,0.13,16736000000000.0,,,2.0226135706492703,surface/ground
25,2025-01-11T14:46:00,2025-01-11 14:46:00,-1.2,55.3,61.0,13.2,2.9,0.1,12133600000000.0,139274.56382001837,4.459135231461982,1.8663685966166053,surface/ground
26,2025-01-10T21:11:07,2025-01-10 21:11:07,47.2,106.3,34.6,14.0,2.7,0.095,11296800000000.0,115273.4693877551,4.186680591095443,1.8333224642158892,surface/ground
27,2024-12-28T04:45:12,2024-12-28 04:45:12,57.7,-168.1,33.7,17.0,3.1,0.11,12970400000000.0,89760.55363321799,3.851724492453851,1.8977471261419776,surface/ground
28,2024-12-20T17:52:01,2024-12-20 17:52:01,14.3,-98.1,32.6,21.1,154.2,3.4,645172800000000.0,2898285.30356461,12.265175096590488,5.039866264818362,surface/ground
29,2024-12-01T08:50:16,2024-12-01 08:50:16,-42.7,-172.4,35.9,22.1,13.0,0.38,54392000000000.0,222730.9023156774,5.214590388391,2.715712285892936,surface/ground
30,2024-11-29T22:18:15,2024-11-29 22:18:15,-74.6,4.4,68.5,,2.7,0.095,11296800000000.0,,,1.8333224642158892,surface/ground
31,2024-11-29T17:57:18,2024-11-29 17:57:18,-79.4,74.6,62.0,,5.8,0.19,24267200000000.0,,,2.2194988143141106,surface/ground
