id,name,min_dist_km,min_epoch_jd,intersects,points,error
2000433,433 Eros (A898 PA),,,,,no_vectors_parsed
2000719,719 Albert (A911 TB),,,,,no_vectors_parsed
2000887,887 Alinda (A918 AA),,,,,no_vectors_parsed
2001036,1036 Ganymed (A924 UB),,,,,no_vectors_parsed
2001221,1221 Amor (1932 EA1),,,,,no_vectors_parsed
2001566,1566 Icarus (1949 MA),,,,,no_vectors_parsed
2001580,1580 Betulia (1950 KA),,,,,no_vectors_parsed
2001620,1620 Geographos (1951 RA),,,,,no_vectors_parsed
2001627,1627 Ivar (1929 SH),,,,,no_vectors_parsed
2001685,1685 Toro (1948 OA),,,,,no_vectors_parsed
2001862,1862 Apollo (1932 HA),,,,,no_vectors_parsed
2001863,1863 Antinous (1948 EA),,,,,no_vectors_parsed
2001864,1864 Daedalus (1971 FA),,,,,no_vectors_parsed
2001865,1865 Cerberus (1971 UA),,,,,no_vectors_parsed
2001866,1866 Sisyphus (1972 XA),,,,,no_vectors_parsed
2001915,1915 Quetzalcoatl (1953 EA),,,,,no_vectors_parsed
2001916,1916 Boreas (1953 RA),,,,,no_vectors_parsed
2001917,1917 Cuyo (1968 AA),,,,,no_vectors_parsed
2001943,1943 Anteros (1973 EC),,,,,no_vectors_parsed
2001980,1980 Tezcatlipoca (1950 LA),,,,,no_vectors_parsed
2001981,1981 Midas (1973 EA),,,,,no_vectors_parsed
2002059,2059 Baboquivari (1963 UA),,,,,no_vectors_parsed
2002061,2061 Anza (1960 UA),,,,,no_vectors_parsed
2002062,2062 Aten (1976 AA),,,,,no_vectors_parsed
2002063,2063 Bacchus (1977 HB),,,,,no_vectors_parsed
2002100,2100 Ra-Shalom (1978 RA),,,,,no_vectors_parsed
2002101,2101 Adonis (1936 CA),,,,,no_vectors_parsed
2002102,2102 Tantalus (1975 YA),,,,,no_vectors_parsed
2002135,2135 Aristaeus (1977 HA),,,,,no_vectors_parsed
2002201,2201 Oljato (1947 XC),,,,,no_vectors_parsed
2002202,2202 Pele (1972 RA),,,,,no_vectors_parsed
2002212,2212 Hephaistos (1978 SB),,,,,no_vectors_parsed
2002329,2329 Orthos (1976 WA),,,,,no_vectors_parsed
2002340,2340 Hathor (1976 UA),,,,,no_vectors_parsed
2002368,2368 Beltrovata (1977 RA),,,,,no_vectors_parsed
2002608,2608 Seneca (1978 DA),,,,,no_vectors_parsed
2003102,3102 Krok (1981 QA),,,,,no_vectors_parsed
2003103,3103 Eger (1982 BB),,,,,no_vectors_parsed
2003122,3122 Florence (1981 ET3),,,,,no_vectors_parsed
2003199,3199 Nefertiti (1982 RA),,,,,no_vectors_parsed
2003200,3200 Phaethon (1983 TB),,,,,no_vectors_parsed
2003271,3271 Ul (1982 RB),,,,,no_vectors_parsed
2003288,3288 Seleucus (1982 DV),,,,,no_vectors_parsed
2003352,3352 McAuliffe (1981 CW),,,,,no_vectors_parsed
2003360,3360 Syrinx (1981 VA),,,,,no_vectors_parsed
2003361,3361 Orpheus (1982 HR),,,,,no_vectors_parsed
2003362,3362 Khufu (1984 QA),,,,,no_vectors_parsed
2003551,3551 Verenia (1983 RD),,,,,no_vectors_parsed
2003552,3552 Don Quixote (1983 SA),,,,,no_vectors_parsed
2003553,3553 Mera (1985 JA),,,,,no_vectors_parsed
2003554,3554 Amun (1986 EB),,,,,no_vectors_parsed
2003671,3671 Dionysus (1984 KD),,,,,no_vectors_parsed
2003691,3691 Bede (1982 FT),,,,,no_vectors_parsed
2003752,3752 Camillo (1985 PA),,,,,no_vectors_parsed
2003753,3753 Cruithne (1986 TO),,,,,no_vectors_parsed
2003757,3757 Anagolay (1982 XB),,,,,no_vectors_parsed
2003838,3838 Epona (1986 WA),,,,,no_vectors_parsed
2003908,3908 Nyx (1980 PA),,,,,no_vectors_parsed
2003988,3988 Huma (1986 LA),,,,,no_vectors_parsed
2004015,4015 Wilson-Harrington (1979 VA),,,,,no_vectors_parsed
2004034,4034 Vishnu (1986 PA),,,,,no_vectors_parsed
2004055,4055 Magellan (1985 DO2),,,,,no_vectors_parsed
2004179,4179 Toutatis (1989 AC),,,,,no_vectors_parsed
2004183,4183 Cuno (1959 LM),,,,,no_vectors_parsed
2004197,4197 Morpheus (1982 TA),,,,,no_vectors_parsed
2004257,4257 Ubasti (1987 QA),,,,,no_vectors_parsed
2004341,4341 Poseidon (1987 KF),,,,,no_vectors_parsed
2004401,4401 Aditi (1985 TB),,,,,no_vectors_parsed
2004450,4450 Pan (1987 SY),,,,,no_vectors_parsed
2004486,4486 Mithra (1987 SB),,,,,no_vectors_parsed
2004487,4487 Pocahontas (1987 UA),,,,,no_vectors_parsed
2004503,4503 Cleobulus (1989 WM),,,,,no_vectors_parsed
2004544,4544 Xanthus (1989 FB),,,,,no_vectors_parsed
2004581,4581 Asclepius (1989 FC),,,,,no_vectors_parsed
2004596,4596 (1981 QB),,,,,no_vectors_parsed
2004660,4660 Nereus (1982 DB),,,,,no_vectors_parsed
2004688,4688 (1980 WF),,,,,no_vectors_parsed
2004769,4769 Castalia (1989 PB),,,,,no_vectors_parsed
2004947,4947 Ninkasi (1988 TJ1),,,,,no_vectors_parsed
2004953,4953 (1990 MU),,,,,no_vectors_parsed
2004954,4954 Eric (1990 SQ),,,,,no_vectors_parsed
2004957,4957 Brucemurray (1990 XJ),,,,,no_vectors_parsed
2005011,5011 Ptah (6743 P-L),,,,,no_vectors_parsed
2005131,5131 (1990 BG),,,,,no_vectors_parsed
2005143,5143 Heracles (1991 VL),,,,,no_vectors_parsed
2005189,5189 (1990 UQ),,,,,no_vectors_parsed
2005324,5324 Lyapunov (1987 SL),,,,,no_vectors_parsed
2005332,5332 Davidaguilar (1990 DA),,,,,no_vectors_parsed
2005370,5370 Taranis (1986 RA),,,,,no_vectors_parsed
2005381,5381 Sekhmet (1991 JY),,,,,no_vectors_parsed
2005496,5496 (1973 NA),,,,,no_vectors_parsed
2005587,5587 (1990 SB),,,,,no_vectors_parsed
2005590,5590 (1990 VA),,,,,no_vectors_parsed
2005604,5604 (1992 FE),,,,,no_vectors_parsed
2005620,5620 Jasonwheeler (1990 OA),,,,,no_vectors_parsed
2005626,5626 Melissabrucker (1991 FE),,,,,no_vectors_parsed
2005645,5645 (1990 SP),,,,,no_vectors_parsed
2005646,5646 (1990 TR),,,,,no_vectors_parsed
2005653,5653 Camarillo (1992 WD5),,,,,no_vectors_parsed
2005660,5660 (1974 MA),,,,,no_vectors_parsed
2005693,5693 (1993 EA),,,,,no_vectors_parsed
2005731,5731 Zeus (1988 VP4),,,,,no_vectors_parsed
2005751,5751 Zao (1992 AC),,,,,no_vectors_parsed
2005786,5786 Talos (1991 RC),,,,,no_vectors_parsed
2005797,5797 Bivoj (1980 AA),,,,,no_vectors_parsed
2005828,5828 (1991 AM),,,,,no_vectors_parsed
2005836,5836 (1993 MF),,,,,no_vectors_parsed
2005863,5863 Tara (1983 RB),,,,,no_vectors_parsed
2005869,5869 Tanith (1988 VN4),,,,,no_vectors_parsed
2005879,5879 Almeria (1992 CH1),,,,,no_vectors_parsed
2006037,6037 (1988 EG),,,,,no_vectors_parsed
2006047,6047 (1991 TB1),,,,,no_vectors_parsed
2006050,6050 Miwablock (1992 AE),,,,,no_vectors_parsed
2006053,6053 (1993 BW3),,,,,no_vectors_parsed
2006063,6063 Jason (1984 KB),,,,,no_vectors_parsed
2006178,6178 (1986 DA),,,,,no_vectors_parsed
2006239,6239 Minos (1989 QF),,,,,no_vectors_parsed
2006455,6455 (1992 HE),,,,,no_vectors_parsed
2006456,6456 Golombek (1992 OM),,,,,no_vectors_parsed
2006489,6489 Golevka (1991 JX),82271660152774032.0,2460952.5,False,96,
2006491,6491 (1991 OA),,,,,no_vectors_parsed
2006569,6569 Ondaatje (1993 MO),,,,,no_vectors_parsed
2006611,6611 (1993 VW),,,,,no_vectors_parsed
2007025,7025 (1993 QA),,,,,no_vectors_parsed
2007088,7088 Ishtar (1992 AA),,,,,no_vectors_parsed
2007092,7092 Cadmus (1992 LC),,,,,no_vectors_parsed
2007236,7236 (1987 PA),,,,,no_vectors_parsed
2007335,7335 (1989 JA),,,,,no_vectors_parsed
2007336,7336 Saunders (1989 RS1),,,,,no_vectors_parsed
2007341,7341 (1991 VK),,,,,no_vectors_parsed
2007350,7350 (1993 VA),,,,,no_vectors_parsed
2007358,7358 Oze (1995 YA3),,,,,no_vectors_parsed
2007474,7474 (1992 TC),,,,,no_vectors_parsed
2007480,7480 Norwan (1994 PC),,,,,no_vectors_parsed
2007482,7482 (1994 PC1),,,,,no_vectors_parsed
