id,tried_id,name,source,moid_au,moid_km,intersects,date,velocity_km_s,miss_distance_km,diameter_m
,,154276 (2002 SY50),neo,,,,1909-08-08,21.4591108678,1949842.017256643,1292.834
,,27002 (1998 DV9),neo,,,,1904-02-04,7.5877219159,2265439.652763656,936.575
,,208617 (2002 EB3),neo,,,,1918-03-08,16.6274192811,2295527.599166341,1162.901
,,152685 (1998 MZ),neo,,,,1907-07-30,16.7466880719,2339871.010837279,585.521
,,4947 Ninkasi (1988 TJ1),neo,,,,1933-07-01,7.4478980859,2528170.388358611,1036.436
,,141495 (2002 EZ11),neo,,,,1902-02-05,33.714802229,2599313.660048569,874.063
,,36284 (2000 DM8),neo,,,,1908-07-29,33.74361406,2649242.308195957,4222.237
,,172718 (2004 BD85),neo,,,,1916-10-29,11.6395672377,2694287.274038047,720.348
,,162120 (1998 SH36),neo,,,,1902-07-28,20.3980705032,3074734.972838793,320.289
,,4660 Nereus (1982 DB),neo,,,,1900-01-29,5.5448650497,3111379.539567199,764.791
,,159467 (2000 QK25),neo,,,,2005-07-13,5.9133511023,3542074.948852469,923.725
,,221455 (2006 BC10),neo,,,,1904-01-31,17.1026756585,3599440.585830741,536.467
,,1915 Quetzalcoatl (1953 EA),neo,,,,1906-03-06,15.120986141,3789658.286758657,906.865
,,8566 (1996 EN),neo,,,,1911-09-08,23.2381012084,3837113.752999631,2185.459
,,154590 (2003 MA3),neo,,,,1902-08-04,9.2490436484,3873416.62323317,196.581
,,139359 (2001 ME1),neo,,,,1915-10-14,19.1640677632,3881303.602457014,2135.712
,,154589 (2003 MX2),neo,,,,2049-03-08,7.1471789043,4087473.402976214,2039.589
,,226514 (2003 UX34),neo,,,,1901-09-07,20.7074718632,4216824.039019786,399.524
,,34613 (2000 UR13),neo,,,,1937-08-24,9.0484508321,4404233.129697174,2603.410
,,86819 (2000 GK137),neo,,,,1921-08-30,9.6432343928,4526817.663517664,1372.596
,,170086 (2002 XR14),neo,,,,1916-04-23,11.6741214872,4614876.130926179,1012.844
,,212546 (2006 SV19),neo,,,,1903-07-27,8.0547583904,4668374.46848772,1234.646
,,162361 (2000 AF6),neo,,,,1901-08-19,16.1119649177,4717284.355140408,385.073
,,96189 Pygmalion (1991 NT3),neo,,,,1930-01-26,11.0571097562,4777887.095548249,2175.417
,,5590 (1990 VA),neo,,,,1900-05-27,12.9443112777,4838845.235615849,448.273
,,105140 (2000 NL10),neo,,,,1913-08-27,56.6743661705,4923607.224200192,3058.740
,,21277 (1996 TO5),neo,,,,1945-06-07,15.5095114603,5000363.677248716,2497.713
,,1620 Geographos (1951 RA),neo,,,,1901-08-23,11.7628114977,5071251.031862465,3797.892
,,85990 (1999 JV6),neo,,,,1907-06-14,6.9049140031,5090804.520656555,379.789
,,217837 (2001 LC),neo,,,,1901-08-22,19.002390657,5175762.826525699,601.925
,,171819 (2001 FZ6),neo,,,,1944-08-09,4.0535670922,5291835.065869349,906.865
,,5189 (1990 UQ),neo,,,,1901-03-25,10.9407215934,5402908.38766844,1162.901
,,231937 (2001 FO32),neo,,,,1901-08-01,55.298108938,5460043.673846486,1310.819
,,68346 (2001 KZ66),neo,,,,1903-11-07,13.4109408579,5545766.080756229,1776.408
,,199003 (2005 WJ56),neo,,,,1901-01-09,12.3203187881,5552452.686671193,1003.558
,,173561 (2000 YV137),neo,,,,1904-08-08,16.2279308726,5612563.414644391,915.256
,,136773 (1996 TR6),neo,,,,1987-12-11,9.4880943305,5614001.349370831,815.723
,,6053 (1993 BW3),neo,,,,1964-01-26,15.7790449015,5710526.697186458,4107.169
,,159504 (2000 WO67),neo,,,,1916-07-23,13.1035804543,5827678.898513425,1735.972
,,242191 (2003 NZ6),neo,,,,1906-02-11,20.7341793428,5834009.431578215,675.371
,,219071 (1997 US9),neo,,,,1902-03-30,14.8553308428,5855196.933026954,1590.533
,,4257 Ubasti (1987 QA),neo,,,,1911-07-24,22.6262615888,5900898.932714084,2738.688
,,87684 (2000 SY2),neo,,,,1910-07-29,37.6435518585,5911542.521968844,2751.330
,,25143 Itokawa (1998 SF36),neo,,,,1902-04-14,5.2717680813,5987213.148797547,604.704
,,5011 Ptah (6743 P-L),neo,,,,1902-03-31,15.3340190147,6011156.617006361,2002.362
,,8035 (1992 TB),neo,,,,1923-09-22,21.0998062386,6194870.954450276,1620.103
,,230599 (2003 FJ1),neo,,,,1929-09-24,28.4786346353,6209196.386642328,1141.675
,,99248 (2001 KY66),neo,,,,1917-07-18,11.8869845877,6358273.626135154,2116.131
,,8176 (1991 WA),neo,,,,1916-06-12,28.642095618,6453389.507699002,1704.287
,,162903 (2001 JV2),neo,,,,1902-05-14,21.704778208,6476369.939619691,808.244
,,96631 (1999 FP59),neo,,,,1924-03-21,4.446445014,6484159.246394212,998.947
,,189700 (2001 TA45),neo,,,,1999-04-11,5.1837228247,6499173.786214632,636.125
,,18736 (1998 NU),neo,,,,1921-06-08,12.1568127187,6552328.751785162,2738.688
,,8014 (1990 MF),neo,,,,1900-09-27,9.9874150956,6682779.246328761,720.348
,,138852 (2000 WN10),neo,,,,1912-02-19,12.9217863147,6727587.084587114,374.578
,,161998 (1988 PA),neo,,,,1969-11-03,7.3473822581,6890129.254363965,1304.796
,,216258 (2006 WH1),neo,,,,1901-04-12,11.7806448518,6900275.789735863,369.439
,,138404 (2000 HA24),neo,,,,1903-09-25,9.9343615694,6919727.028385808,569.564
,,185702 (1998 HK3),neo,,,,1978-07-31,10.7344380092,6944373.142830225,1031.674
,,5626 Melissabrucker (1991 FE),neo,,,,1928-06-27,9.4547107436,6958019.699888217,5855.212
,,3199 Nefertiti (1982 RA),neo,,,,1916-03-16,13.4221932631,7046928.930383422,4320.586
,,180186 (2003 QZ30),neo,,,,1901-10-07,12.9371252488,7085598.423960574,1310.819
,,137805 (1999 YK5),neo,,,,1903-01-04,34.0677875233,7097849.71160465,1947.792
,,153958 (2002 AM31),neo,,,,1903-07-19,10.148197942,7259089.646882938,919.481
,,143487 (2003 CR20),neo,,,,1904-03-12,23.730147597,7343327.459490588,700.717
,,164121 (2003 YT1),neo,,,,1901-04-26,23.2090832806,7348389.223100334,2532.460
,,3838 Epona (1986 WA),neo,,,,1979-08-01,19.7672921746,7402723.094685399,3217.678
,,153249 (2001 BW15),neo,,,,1918-08-20,25.8539273729,7416351.699998991,3323.094
,,214869 (2007 PA8),neo,,,,1900-01-07,11.594282513,7504946.849766131,2145.570
,,10115 (1992 SK),neo,,,,1928-07-27,8.7023098998,7517055.795036902,1635.094
,,153814 (2001 WN5),neo,,,,1916-10-02,11.1382174551,7625252.933227586,949.604
,,66272 (1999 JW6),neo,,,,1997-08-09,20.6940983354,7630653.521053095,1547.186
,,202683 (2006 US216),neo,,,,1902-05-24,32.7293136696,7639767.99567965,475.929
,,85182 (1991 AQ),neo,,,,1905-05-01,16.6932749093,7664223.836593214,1612.659
,,67399 (2000 PJ6),neo,,,,1911-06-08,11.7364516433,7761285.717169596,894.422
,,85989 (1999 JD6),neo,,,,1903-07-24,20.3382564611,7772485.586103951,1657.840
,,154144 (2002 FA5),neo,,,,2052-08-23,12.5351395428,7784804.267588462,1353.763
,,65803 Didymos (1996 GT),neo,,,,1901-02-04,8.9783810123,7802131.096806111,1026.934
,,3122 Florence (1981 ET3),neo,,,,1930-08-29,13.9543936845,7837812.447728948,6569.656
,,4015 Wilson-Harrington (1979 VA),neo,,,,1919-09-30,8.8059885516,7860397.821594541,2486.238
,,215442 (2002 MQ3),neo,,,,1900-10-31,22.6489359074,7920591.112632192,846.336
