source,id,name,date,diameter_m,velocity_km_s,miss_distance_km
neo,2154276,154276 (2002 SY50),1909-08-08,1292.834,21.4591108678,1949842.017256643
neo,2027002,27002 (1998 DV9),1904-02-04,936.575,7.5877219159,2265439.652763656
neo,2208617,208617 (2002 EB3),1918-03-08,1162.901,16.6274192811,2295527.599166341
neo,2152685,152685 (1998 MZ),1907-07-30,585.521,16.7466880719,2339871.010837279
neo,2004947,4947 Ninkasi (1988 TJ1),1933-07-01,1036.436,7.4478980859,2528170.388358611
neo,2141495,141495 (2002 EZ11),1902-02-05,874.063,33.714802229,2599313.660048569
neo,2036284,36284 (2000 DM8),1908-07-29,4222.237,33.74361406,2649242.308195957
neo,2172718,172718 (2004 BD85),1916-10-29,720.348,11.6395672377,2694287.274038047
neo,2162120,162120 (1998 SH36),1902-07-28,320.289,20.3980705032,3074734.972838793
neo,2004660,4660 Nereus (1982 DB),1900-01-29,764.791,5.5448650497,3111379.539567199
neo,2159467,159467 (2000 QK25),2005-07-13,923.725,5.9133511023,3542074.948852469
neo,2221455,221455 (2006 BC10),1904-01-31,536.467,17.1026756585,3599440.585830741
neo,2001915,1915 Quetzalcoatl (1953 EA),1906-03-06,906.865,15.120986141,3789658.286758657
neo,2008566,8566 (1996 EN),1911-09-08,2185.459,23.2381012084,3837113.752999631
neo,2154590,154590 (2003 MA3),1902-08-04,196.581,9.2490436484,3873416.62323317
neo,2139359,139359 (2001 ME1),1915-10-14,2135.712,19.1640677632,3881303.602457014
neo,2154589,154589 (2003 MX2),2049-03-08,2039.589,7.1471789043,4087473.402976214
neo,2226514,226514 (2003 UX34),1901-09-07,399.524,20.7074718632,4216824.039019786
neo,2034613,34613 (2000 UR13),1937-08-24,2603.410,9.0484508321,4404233.129697174
neo,2086819,86819 (2000 GK137),1921-08-30,1372.596,9.6432343928,4526817.663517664
neo,2170086,170086 (2002 XR14),1916-04-23,1012.844,11.6741214872,4614876.130926179
neo,2212546,212546 (2006 SV19),1903-07-27,1234.646,8.0547583904,4668374.46848772
neo,2162361,162361 (2000 AF6),1901-08-19,385.073,16.1119649177,4717284.355140408
neo,2096189,96189 Pygmalion (1991 NT3),1930-01-26,2175.417,11.0571097562,4777887.095548249
neo,2005590,5590 (1990 VA),1900-05-27,448.273,12.9443112777,4838845.235615849
neo,2105140,105140 (2000 NL10),1913-08-27,3058.740,56.6743661705,4923607.224200192
neo,2021277,21277 (1996 TO5),1945-06-07,2497.713,15.5095114603,5000363.677248716
neo,2001620,1620 Geographos (1951 RA),1901-08-23,3797.892,11.7628114977,5071251.031862465
neo,2085990,85990 (1999 JV6),1907-06-14,379.789,6.9049140031,5090804.520656555
neo,2217837,217837 (2001 LC),1901-08-22,601.925,19.002390657,5175762.826525699
neo,2171819,171819 (2001 FZ6),1944-08-09,906.865,4.0535670922,5291835.065869349
neo,2005189,5189 (1990 UQ),1901-03-25,1162.901,10.9407215934,5402908.38766844
neo,2231937,231937 (2001 FO32),1901-08-01,1310.819,55.298108938,5460043.673846486
neo,2068346,68346 (2001 KZ66),1903-11-07,1776.408,13.4109408579,5545766.080756229
neo,2199003,199003 (2005 WJ56),1901-01-09,1003.558,12.3203187881,5552452.686671193
neo,2173561,173561 (2000 YV137),1904-08-08,915.256,16.2279308726,5612563.414644391
neo,2136773,136773 (1996 TR6),1987-12-11,815.723,9.4880943305,5614001.349370831
neo,2006053,6053 (1993 BW3),1964-01-26,4107.169,15.7790449015,5710526.697186458
neo,2159504,159504 (2000 WO67),1916-07-23,1735.972,13.1035804543,5827678.898513425
neo,2242191,242191 (2003 NZ6),1906-02-11,675.371,20.7341793428,5834009.431578215
neo,2219071,219071 (1997 US9),1902-03-30,1590.533,14.8553308428,5855196.933026954
neo,2004257,4257 Ubasti (1987 QA),1911-07-24,2738.688,22.6262615888,5900898.932714084
neo,2087684,87684 (2000 SY2),1910-07-29,2751.330,37.6435518585,5911542.521968844
neo,2025143,25143 Itokawa (1998 SF36),1902-04-14,604.704,5.2717680813,5987213.148797547
neo,2005011,5011 Ptah (6743 P-L),1902-03-31,2002.362,15.3340190147,6011156.617006361
neo,2008035,8035 (1992 TB),1923-09-22,1620.103,21.0998062386,6194870.954450276
neo,2230599,230599 (2003 FJ1),1929-09-24,1141.675,28.4786346353,6209196.386642328
neo,2099248,99248 (2001 KY66),1917-07-18,2116.131,11.8869845877,6358273.626135154
neo,2008176,8176 (1991 WA),1916-06-12,1704.287,28.642095618,6453389.507699002
neo,2162903,162903 (2001 JV2),1902-05-14,808.244,21.704778208,6476369.939619691
neo,2096631,96631 (1999 FP59),1924-03-21,998.947,4.446445014,6484159.246394212
neo,2189700,189700 (2001 TA45),1999-04-11,636.125,5.1837228247,6499173.786214632
neo,2018736,18736 (1998 NU),1921-06-08,2738.688,12.1568127187,6552328.751785162
neo,2008014,8014 (1990 MF),1900-09-27,720.348,9.9874150956,6682779.246328761
neo,2138852,138852 (2000 WN10),1912-02-19,374.578,12.9217863147,6727587.084587114
neo,2161998,161998 (1988 PA),1969-11-03,1304.796,7.3473822581,6890129.254363965
neo,2216258,216258 (2006 WH1),1901-04-12,369.439,11.7806448518,6900275.789735863
neo,2138404,138404 (2000 HA24),1903-09-25,569.564,9.9343615694,6919727.028385808
neo,2185702,185702 (1998 HK3),1978-07-31,1031.674,10.7344380092,6944373.142830225
neo,2005626,5626 Melissabrucker (1991 FE),1928-06-27,5855.212,9.4547107436,6958019.699888217
neo,2003199,3199 Nefertiti (1982 RA),1916-03-16,4320.586,13.4221932631,7046928.930383422
neo,2180186,180186 (2003 QZ30),1901-10-07,1310.819,12.9371252488,7085598.423960574
neo,2137805,137805 (1999 YK5),1903-01-04,1947.792,34.0677875233,7097849.71160465
neo,2153958,153958 (2002 AM31),1903-07-19,919.481,10.148197942,7259089.646882938
neo,2143487,143487 (2003 CR20),1904-03-12,700.717,23.730147597,7343327.459490588
neo,2164121,164121 (2003 YT1),1901-04-26,2532.460,23.2090832806,7348389.223100334
neo,2003838,3838 Epona (1986 WA),1979-08-01,3217.678,19.7672921746,7402723.094685399
neo,2153249,153249 (2001 BW15),1918-08-20,3323.094,25.8539273729,7416351.699998991
neo,2214869,214869 (2007 PA8),1900-01-07,2145.570,11.594282513,7504946.849766131
neo,2010115,10115 (1992 SK),1928-07-27,1635.094,8.7023098998,7517055.795036902
neo,2153814,153814 (2001 WN5),1916-10-02,949.604,11.1382174551,7625252.933227586
neo,2066272,66272 (1999 JW6),1997-08-09,1547.186,20.6940983354,7630653.521053095
neo,2202683,202683 (2006 US216),1902-05-24,475.929,32.7293136696,7639767.99567965
neo,2085182,85182 (1991 AQ),1905-05-01,1612.659,16.6932749093,7664223.836593214
neo,2067399,67399 (2000 PJ6),1911-06-08,894.422,11.7364516433,7761285.717169596
neo,2085989,85989 (1999 JD6),1903-07-24,1657.840,20.3382564611,7772485.586103951
neo,2154144,154144 (2002 FA5),2052-08-23,1353.763,12.5351395428,7784804.267588462
neo,2065803,65803 Didymos (1996 GT),1901-02-04,1026.934,8.9783810123,7802131.096806111
neo,2003122,3122 Florence (1981 ET3),1930-08-29,6569.656,13.9543936845,7837812.447728948
neo,2004015,4015 Wilson-Harrington (1979 VA),1919-09-30,2486.238,8.8059885516,7860397.821594541
neo,2215442,215442 (2002 MQ3),1900-10-31,846.336,22.6489359074,7920591.112632192
neo,2153953,153953 (2002 AD9),1912-03-02,1868.713,33.0266984718,7938790.546225551
neo,2137120,137120 (1999 BJ8),1910-02-15,945.241,14.4279405097,7984596.830587858
neo,2237442,237442 (1999 TA10),1981-05-11,1003.558,10.9964176451,8105476.876197142
neo,2003988,3988 Huma (1986 LA),1900-07-25,1110.562,7.3299903587,8206416.543000942
neo,2140158,140158 (2001 SX169),1900-07-06,866.049,13.3018130786,8272474.968129813
neo,2162913,162913 (2001 MT18),1901-01-03,866.049,14.4644433159,8315478.925352132
neo,2016912,16912 Rhiannon (1998 EP8),1911-07-25,1126.011,13.1915083092,8365932.617143859
neo,2137052,137052 Tjelvar (1998 VO33),1902-07-17,1680.903,47.4498101156,8413231.76857047
neo,2152931,152931 (2000 EA107),1901-01-18,2363.429,21.3089218116,8448480.61709135
neo,2136923,136923 (1998 JH2),1949-06-11,2352.570,8.50578384,8467466.591405808
neo,2162000,162000 (1990 OS),1909-11-19,507.625,11.5067664476,8589925.25357848
neo,2054686,54686 (2001 DU8),1963-04-16,2049.003,15.9824989722,8718322.008723571
neo,2171839,171839 (2001 JM1),1904-05-01,613.116,10.156757776,8726337.926351568
neo,2226198,226198 (2002 UN3),1939-02-27,730.369,8.5331175345,8760710.400630414
neo,2223456,223456 (2003 UB10),1900-02-23,945.241,8.3453177105,8782878.605875725
neo,2154302,154302 (2002 UQ3),1906-05-02,1246.071,21.8161837939,8901593.431753777
neo,2152637,152637 (1997 NC1),1902-01-10,1146.945,10.5044193676,9024539.902660945
neo,2009856,9856 (1991 EE),1900-08-28,1627.581,14.0445450041,9138963.378999964
neo,2088263,88263 (2001 KQ1),1915-08-08,3129.988,21.5333840571,9149725.135612237
neo,2215757,215757 (2004 FU64),2161-11-05,1141.675,13.128515229,9162720.08922787
neo,2138859,138859 (2000 WN63),1932-05-15,687.927,9.9223872964,9179523.894372425
neo,2172974,172974 (2005 YW55),1918-07-09,566.947,8.5210815821,9194548.861164384
neo,2086039,86039 (1999 NC43),1937-02-05,2776.787,10.5881171562,9302987.510156396
neo,2052387,52387 Huitzilopochtli (1993 OM7),1942-01-18,1212.112,13.0838250676,9311030.534918437
neo,2162063,162063 (1997 EH29),1907-02-15,697.497,20.8320574559,9334250.742305162
