source,id,name,date,latitude,longitude,altitude_m,mass_g,diameter_m,velocity_km_s,miss_distance_km,recclass,orbital_inclination_deg,eccentricity,epoch,x,y,z,vx,vy,vz,energy,impact_e
neo,2000433,433 Eros (A898 PA),1900-12-27,N/A,N/A,N/A,N/A,35937.066,5.5786191875,47112732.928149391,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2000719,719 Albert (A911 TB),1909-08-21,N/A,N/A,N/A,N/A,3277.499,3.446029003,255628984.355940963,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2000887,887 Alinda (A918 AA),1974-01-04,N/A,N/A,N/A,N/A,7439.481,7.095973685,20461808.703836132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001036,1036 Ganymed (A924 UB),1910-02-25,N/A,N/A,N/A,N/A,62739.726,6.3038664111,292651826.173281699,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001221,1221 Amor (1932 EA1),1908-03-14,N/A,N/A,N/A,N/A,1443.918,10.7701740589,27512874.494038238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001566,1566 Icarus (1949 MA),1902-06-11,N/A,N/A,N/A,N/A,2125.899,27.0080561011,12638658.792139494,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001580,1580 Betulia (1950 KA),1929-06-09,N/A,N/A,N/A,N/A,5146.863,11.3576547452,276689988.329132605,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001620,1620 Geographos (1951 RA),1901-08-23,N/A,N/A,N/A,N/A,3797.892,11.7628114977,5071251.031862465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001627,1627 Ivar (1929 SH),1929-07-19,N/A,N/A,N/A,N/A,11899.881,6.5498704866,24911350.809696372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001685,1685 Toro (1948 OA),1908-08-04,N/A,N/A,N/A,N/A,5991.597,16.1350821461,26483636.645542351,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001862,1862 Apollo (1932 HA),1911-01-29,N/A,N/A,N/A,N/A,2615.427,11.6407136972,9839828.726759549,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001863,1863 Antinous (1948 EA),1907-10-11,N/A,N/A,N/A,N/A,3479.707,18.0795126569,13378690.522801436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001864,1864 Daedalus (1971 FA),1909-11-13,N/A,N/A,N/A,N/A,4629.591,21.1217901741,22024825.739892864,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001865,1865 Cerberus (1971 UA),1905-12-23,N/A,N/A,N/A,N/A,1886.004,20.574000903,15819539.497497235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001866,1866 Sisyphus (1972 XA),1959-11-17,N/A,N/A,N/A,N/A,13725.956,23.0737678663,29534088.129173607,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001915,1915 Quetzalcoatl (1953 EA),1906-03-06,N/A,N/A,N/A,N/A,906.865,15.120986141,3789658.286758657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001916,1916 Boreas (1953 RA),N/A,N/A,N/A,N/A,N/A,4462.134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001917,1917 Cuyo (1968 AA),1926-09-28,N/A,N/A,N/A,N/A,5721.931,15.2344898243,16872242.235656019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001943,1943 Anteros (1973 EC),1937-05-28,N/A,N/A,N/A,N/A,3129.988,7.2023034103,18431472.814984968,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001980,1980 Tezcatlipoca (1950 LA),N/A,N/A,N/A,N/A,N/A,7439.481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2001981,1981 Midas (1973 EA),1916-09-24,N/A,N/A,N/A,N/A,3833.034,31.4029234631,23199847.116618,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002059,2059 Baboquivari (1963 UA),1922-11-16,N/A,N/A,N/A,N/A,2738.688,3.2390038886,207416502.583003282,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002061,2061 Anza (1960 UA),1943-09-15,N/A,N/A,N/A,N/A,1965.815,6.8951216486,10260841.114713329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002062,2062 Aten (1976 AA),1900-01-19,N/A,N/A,N/A,N/A,1627.581,11.2688208334,18835343.845160325,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002063,2063 Bacchus (1977 HB),1903-03-06,N/A,N/A,N/A,N/A,1554.328,10.3891121599,9959874.764243583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002100,2100 Ra-Shalom (1978 RA),1906-12-24,N/A,N/A,N/A,N/A,2418.481,17.9951279067,12234205.272737718,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002101,2101 Adonis (1936 CA),1902-07-16,N/A,N/A,N/A,N/A,786.217,19.3298299696,28140949.153484064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002102,2102 Tantalus (1975 YA),1912-12-23,N/A,N/A,N/A,N/A,2713.580,33.9011179621,10979848.959116951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002135,2135 Aristaeus (1977 HA),1958-10-17,N/A,N/A,N/A,N/A,1055.705,27.4377860884,71380028.480414418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002201,2201 Oljato (1947 XC),1903-06-18,N/A,N/A,N/A,N/A,3711.441,25.3456267744,25845171.89043248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
