row_index,orig_id,tried_id,name,moid_au,moid_km,intersects,error
0,2000433,433,433 Eros (A898 PA),0.148,22140484.9,False,
1,2000719,719,719 Albert (A911 TB),0.201,30069172.0,False,
2,2000887,887,887 Alinda (A918 AA),0.0797,11922950.3,False,
3,2001036,1036,1036 Ganymed (A924 UB),0.343,51312069.7,False,
4,2001221,1221,1221 Amor (1932 EA1),0.108,16156570.0,False,
5,2001566,1566,1566 Icarus (1949 MA),0.0335,5011528.7,False,
6,2001580,1580,1580 Betulia (1950 KA),0.132,19746918.9,False,
7,2001620,1620,1620 Geographos (1951 RA),0.0294,4398177.4,False,
8,2001627,1627,1627 Ivar (1929 SH),0.109,16306167.9,False,
9,2001685,1685,1685 Toro (1948 OA),0.0511,7644451.2,False,
10,2001862,1862,1862 Apollo (1932 HA),0.026,3889544.6,False,
11,2001863,1863,1863 Antinous (1948 EA),0.187,27974801.8,False,
12,2001864,1864,1864 Daedalus (1971 FA),0.269,40241827.2,False,
13,2001865,1865,1865 Cerberus (1971 UA),0.157,23486865.7,False,
14,2001866,1866,1866 Sisyphus (1972 XA),0.104,15558178.6,False,
15,2001915,1915,1915 Quetzalcoatl (1953 EA),0.109,16306167.9,False,
16,2001916,1916,1916 Boreas (1953 RA),0.252,37698663.4,False,
17,2001917,1917,1917 Cuyo (1968 AA),0.0717,10726167.3,False,
18,2001943,1943,1943 Anteros (1973 EC),0.0609,9110510.3,False,
19,2001980,1980,1980 Tezcatlipoca (1950 LA),0.245,36651478.3,False,
20,2001981,1981,1981 Midas (1973 EA),0.00277,414386.1,False,
21,2002059,2059,2059 Baboquivari (1963 UA),0.245,36651478.3,False,
22,2002061,2061,2061 Anza (1960 UA),0.0558,8347561.2,False,
23,2002062,2062,2062 Aten (1976 AA),0.113,16904559.4,False,
24,2002063,2063,2063 Bacchus (1977 HB),0.0667,9978178.0,False,
25,2002100,2100,2100 Ra-Shalom (1978 RA),0.15,22439680.6,False,
26,2002101,2101,2101 Adonis (1936 CA),0.0115,1720375.5,False,
27,2002102,2102,2102 Tantalus (1975 YA),0.0426,6372869.3,False,
28,2002135,2135,2135 Aristaeus (1977 HA),0.00853,1276069.8,False,
29,2002201,2201,2201 Oljato (1947 XC),0.00278,415882.1,False,
30,2002202,2202,2202 Pele (1972 RA),0.143,21392495.5,False,
31,2002212,2212,2212 Hephaistos (1978 SB),0.112,16754961.5,False,
32,2002329,2329,2329 Orthos (1976 WA),0.0936,14002360.7,False,
33,2002340,2340,2340 Hathor (1976 UA),0.00663,991833.9,False,
34,2002368,2368,2368 Beltrovata (1977 RA),0.231,34557108.1,False,
35,2002608,2608,2608 Seneca (1978 DA),0.153,22888474.2,False,
36,2003102,3102,3102 Krok (1981 QA),0.183,27376410.3,False,
37,2003103,3103,3103 Eger (1982 BB),0.0786,11758392.6,False,
38,2003122,3122,3122 Florence (1981 ET3),0.0436,6522467.2,False,
39,2003199,3199,3199 Nefertiti (1982 RA),0.215,32163542.2,False,
40,2003200,3200,3200 Phaethon (1983 TB),0.0187,2797480.2,False,
41,2003271,3271,3271 Ul (1982 RB),0.276,41289012.3,False,
42,2003288,3288,3288 Seleucus (1982 DV),0.105,15707776.4,False,
43,2003352,3352,3352 McAuliffe (1981 CW),0.202,30218769.9,False,
44,2003360,3360,3360 Syrinx (1981 VA),0.11,16455765.8,False,
45,2003361,3361,3361 Orpheus (1982 HR),0.0146,2184128.9,False,
46,2003362,3362,3362 Khufu (1984 QA),0.013,1944772.3,False,
47,2003551,3551,3551 Verenia (1983 RD),0.0749,11204880.5,False,
48,2003552,3552,3552 Don Quixote (1983 SA),0.342,51162471.8,False,
