id,name,min_dist_km,min_epoch_jd,intersects,points,error
2000433,433 Eros (A898 PA),,,,,no_vectors_parsed
2000719,719 Albert (A911 TB),,,,,no_vectors_parsed
2000887,887 Alinda (A918 AA),,,,,no_vectors_parsed
2001036,1036 Ganymed (A924 UB),,,,,no_vectors_parsed
2001221,1221 Amor (1932 EA1),,,,,no_vectors_parsed
2001566,1566 Icarus (1949 MA),,,,,no_vectors_parsed
2001580,1580 Betulia (1950 KA),,,,,no_vectors_parsed
2001620,1620 Geographos (1951 RA),,,,,no_vectors_parsed
2001627,1627 Ivar (1929 SH),,,,,no_vectors_parsed
2001685,1685 Toro (1948 OA),,,,,no_vectors_parsed
2001862,1862 Apollo (1932 HA),,,,,no_vectors_parsed
2001863,1863 Antinous (1948 EA),,,,,no_vectors_parsed
2001864,1864 Daedalus (1971 FA),,,,,no_vectors_parsed
2001865,1865 Cerberus (1971 UA),,,,,no_vectors_parsed
2001866,1866 Sisyphus (1972 XA),,,,,no_vectors_parsed
2001915,1915 Quetzalcoatl (1953 EA),,,,,no_vectors_parsed
2001916,1916 Boreas (1953 RA),,,,,no_vectors_parsed
2001917,1917 Cuyo (1968 AA),,,,,no_vectors_parsed
2001943,1943 Anteros (1973 EC),,,,,no_vectors_parsed
2001980,1980 Tezcatlipoca (1950 LA),,,,,no_vectors_parsed
2001981,1981 Midas (1973 EA),,,,,no_vectors_parsed
2002059,2059 Baboquivari (1963 UA),,,,,no_vectors_parsed
2002061,2061 Anza (1960 UA),,,,,no_vectors_parsed
2002062,2062 Aten (1976 AA),,,,,no_vectors_parsed
2002063,2063 Bacchus (1977 HB),,,,,no_vectors_parsed
