sim_neo_Name,sim_neo_Date,sim_neo_Diameter_min_m,sim_neo_Diameter_max_m,sim_neo_Diameter_avg_m,sim_neo_Velocity_km_s,sim_neo_Mass_kg,sim_neo_Kinetic_Energy_J,sim_neo_Crater_Diameter_m,sim_neo_Impact_Severity_Index,sim_neo_Miss_Distance_km,sim_neo_Orbiting_Body,sim_neo_Inclination_deg,sim_neo_Eccentricity,sim_neo_Hazardous
(2025 QB21),2025-09-06,13.8214935879,30.905799213,22.36364640045,5.7632031982,17569027.701554395,291773332837620.8,487.9388147949378,0.7797121476325586,626957.253115648,Earth,,,False
(2025 RO2),2025-09-14,20.3495578117,45.502994579,32.92627619535,13.7531027315,56072216.98673788,5302969216145972.0,967.4076984803733,6.270376914626345,477047.306999041,Earth,,,False
(2025 SN2),2025-09-14,6.0249712184,13.4722452069,9.74860821265,11.7886942601,1455283.9096660153,101122812673876.73,349.82443933039707,0.4509472520042738,522339.273884288,Earth,,,False
(2022 SS2),2025-09-13,9.8300330186,21.9806220506,15.905327534600001,7.2177675536,6320446.035009134,164635510684137.88,412.98141609692266,0.5776169267810606,910572.374955148,Earth,,,False
(2025 RM2),2025-09-13,6.4055286294,14.3231974473,10.36436303835,12.4365876464,1748830.5351675274,135244683440913.95,375.68320490864454,0.5109278883495585,340164.193804164,Earth,,,False
(2025 RN4),2025-09-13,5.3034072332,11.8587790858,8.5810931595,5.2748871426,992539.3360179132,13808422805930.863,222.314112505583,0.23612253531151386,65697.624986005,Earth,,,False
(2025 RQ2),2025-09-12,12.6053519682,28.1864238812,20.3958879247,12.7965996302,13327470.42940065,1091206380028168.8,645.0521885008815,1.7362585685290504,573547.851487822,Earth,,,False
(2025 RQ7),2025-09-12,9.7983957567,21.9098789824,15.85413736955,9.6160188558,6259616.513588103,289406542251874.44,467.3682130733101,0.7567747553251845,462680.151961046,Earth,,,False
(2025 RW14),2025-09-12,1.2646052388,2.8277432787,2.04617425875,9.0412737735,13456.98373859254,550018088052.3094,92.10989126863075,0.09265990935668306,96895.034071971,Earth,,,False
(2025 RZ2),2025-09-16,17.0669130772,38.1627778068,27.614845442,18.9958527798,33078646.24547394,5968089427607006.0,972.1451339209217,6.9402345615279275,203154.386173184,Earth,,,False
(2025 SU),2025-09-16,5.5125809074,12.3265056405,8.919543273950001,10.2647774598,1114673.631326547,58724159362077.164,307.10793207053,0.36583209143260714,267419.087961394,Earth,,,False
(2025 SX1),2025-09-16,5.6774716804,12.6952126177,9.186342149049999,10.8631066436,1217720.8091955178,71849842097057.39,322.18180905438874,0.3940316511514461,125564.343873446,Earth,,,False
(2025 SB9),2025-09-16,2.5127829502,5.6187534893,4.06576821975,10.3508117573,105571.7516917822,5655442001009.853,167.01288472046684,0.1726683267214767,670296.758360377,Earth,,,False
(2025 RJ2),2025-09-15,2.8877193076,6.4571366717,4.67242798965,5.427888187,160231.43701021053,2360366908791.5264,140.12345258482077,0.14248381949361227,301283.393235637,Earth,,,False
(2025 RP3),2025-09-15,3.0546044254,6.8303031395,4.94245378245,10.7834833244,189647.76443228315,11026454103183.498,198.02463801730775,0.20905109212049125,121308.119914289,Earth,,,False
(2025 SU4),2025-09-24,1.1490924644,2.5694488628,1.8592706635999998,9.1808375627,10095.962472637237,425483123575.3279,86.05685100731982,0.08648233413089515,22380.873577303,Earth,,,False
