Name,Epoch,Eccentricity,Inclination,Longitude Asc Node,Arg Perihelion,Perihelion Dist,Semi-major Axis,Mean Anomaly
1 Ceres (A801 AA),2461000.5,0.0796,10.6,80.2,73.3,2.55,2.77,232
2 Pallas (A802 FA),2461000.5,0.231,34.9,173,311,2.13,2.77,212
3 Juno (A804 RA),2461000.5,0.256,13,170,248,1.99,2.67,218
4 Vesta (A807 FA),2461000.5,0.0902,7.14,104,152,2.15,2.36,26.8
5 Astraea (A845 XA),2461000.5,0.188,5.36,141,359,2.09,2.58,134
6 Hebe (A847 NA),2461000.5,0.202,14.7,139,240,1.93,2.43,353
7 Iris (A847 PA),2461000.5,0.23,5.52,259,145,1.84,2.39,61.7
8 Flora (A847 UA),2461000.5,0.156,5.89,111,285,1.86,2.2,199
9 Metis (A848 HA),2461000.5,0.123,5.58,68.9,5.9,2.09,2.39,199
10 Hygiea (A849 GA),2461000.5,0.108,3.83,283,313,2.81,3.15,217
11 Parthenope (A850 JA),2461000.5,0.1,4.64,125,196,2.21,2.45,174
12 Victoria (A850 RA),2461000.5,0.22,8.37,235,69.5,1.82,2.33,76.9
13 Egeria (A850 VA),2461000.5,0.0847,16.5,43.2,79.1,2.36,2.58,41
14 Irene (A851 KA),2461000.5,0.163,9.13,86,98.3,2.17,2.59,12.9
15 Eunomia (A851 OA),2461000.5,0.188,11.8,293,98.5,2.15,2.64,114
16 Psyche (A852 FA),2461000.5,0.134,3.1,150,230,2.53,2.92,40.6
17 Thetis (A852 HA),2461000.5,0.131,5.59,126,136,2.15,2.47,193
18 Melpomene (A852 MA),2461000.5,0.218,10.1,150,228,1.8,2.3,227
19 Fortuna (A852 QA),2461000.5,0.158,1.57,211,183,2.06,2.44,96.5
20 Massalia (A852 SA),2461000.5,0.144,0.709,206,257,2.06,2.41,30
21 Lutetia (A852 VA),2461000.5,0.165,3.06,80.8,250,2.03,2.43,247
22 Kalliope (A852 WA),2461000.5,0.0989,13.7,66,358,2.62,2.91,311
23 Thalia (A852 XA),2461000.5,0.231,10.1,66.5,61.6,2.02,2.63,170
24 Themis (A853 GA),2461000.5,0.115,0.737,36.4,109,2.78,3.14,56.8
25 Phocaea (A853 GB),2461000.5,0.254,21.6,214,90.2,1.79,2.4,89.2
26 Proserpina (A853 JA),2461000.5,0.0886,3.55,45.7,196,2.42,2.66,290
27 Euterpe (A853 VA),2461000.5,0.172,1.58,94.8,357,1.94,2.35,273
28 Bellona (A854 EA),2461000.5,0.149,9.42,144,343,2.36,2.78,65.5
29 Amphitrite (A854 EB),2461000.5,0.0734,6.08,356,61.9,2.37,2.55,145
30 Urania (A854 OA),2461000.5,0.127,2.09,307,87.2,2.07,2.37,320
31 Euphrosyne (A854 RA),2461000.5,0.216,26.3,30.8,62,2.48,3.16,148
32 Pomona (A854 UA),2461000.5,0.0813,5.52,220,338,2.38,2.59,242
33 Polyhymnia (A854 UB),2461000.5,0.333,1.85,8.21,339,1.92,2.87,107
34 Circe (A855 GA),2461000.5,0.107,5.5,184,329,2.4,2.69,305
35 Leukothea (A855 HA),2461000.5,0.217,7.87,353,215,2.35,3.01,309
36 Atalante (A855 TA),2461000.5,0.306,18.4,358,47.8,1.9,2.74,99.6
37 Fides (A855 TB),2461000.5,0.175,3.07,7.24,62.3,2.18,2.64,173
38 Leda (A856 AA),2461000.5,0.151,6.95,295,170,2.33,2.74,166
39 Laetitia (A856 CA),2461000.5,0.113,10.4,157,210,2.46,2.77,93.7
40 Harmonia (A856 FA),2461000.5,0.0463,4.26,94.2,270,2.16,2.27,80.3
41 Daphne (A856 KA),2461000.5,0.27,15.7,178,46.9,2.02,2.77,288
42 Isis (A856 KB),2461000.5,0.222,8.51,84.2,237,1.9,2.44,103
43 Ariadne (A857 GA),2461000.5,0.168,3.47,265,16.2,1.83,2.2,141
44 Nysa (A857 KA),2461000.5,0.15,3.71,131,344,2.06,2.42,349
45 Eugenia (A857 MA),2461000.5,0.0822,6.61,148,87.3,2.5,2.72,207
46 Hestia (A857 QA),2461000.5,0.172,2.35,181,177,2.09,2.53,300
47 Aglaja (A857 RA),2461000.5,0.133,4.97,2.69,316,2.5,2.88,174
