jd,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,distance_km
2460676.5,2025-01-01T00:00:00,1.0086497772230002e+16,-3.9515406729820696e+16,-2917696871594309.0,39226.15221468133,13626.255681633389,3330.2361369154028,4.088664526916914e+16
2460677.5,2025-01-02T00:00:00,1.0379067713732912e+16,-3.941272610811165e+16,-2892765671955356.0,39158.371962518104,13883.742303302917,3349.2695420278774,4.085897843940939e+16
2460678.5,2025-01-03T00:00:00,1.0671124038845624e+16,-3.930812401145289e+16,-2867692860858599.0,39088.54450865642,14141.050680194343,3368.17612068993,4.083166863962833e+16
2460679.5,2025-01-04T00:00:00,1.0962651455899414e+16,-3.920160184804784e+16,-2842479392415045.5,39016.66738198504,14398.16000067616,3386.953902795156,4.0804717907280104e+16
2460680.5,2025-01-05T00:00:00,1.1253634655781798e+16,-3.909316118184724e+16,-2817126235422376.0,38942.738380591756,14655.049349491568,3405.600923704349,4.077812825991412e+16
2460681.5,2025-01-06T00:00:00,1.1544058313956742e+16,-3.8982803733307304e+16,-2791634373322209.0,38866.75557460592,14911.697711892512,3424.1152247644823,4.075190169476642e+16
2460682.5,2025-01-07T00:00:00,1.1833907092505842e+16,-3.887053138011676e+16,-2766004804153459.5,38788.7173089685,15168.083977855202,3442.4948538309427,4.072604018835249e+16
2460683.5,2025-01-08T00:00:00,1.2123165642189874e+16,-3.875634615789214e+16,-2740238540501801.0,38708.622206127184,15424.18694637483,3460.7378657926633,4.070054569606144e+16
2460684.5,2025-01-09T00:00:00,1.2411818604530194e+16,-3.864025026084061e+16,-2714336609445195.5,38626.469168653945,15679.985329837444,3478.8423230998487,4.067542015175171e+16
2460685.5,2025-01-10T00:00:00,1.2699850613909388e+16,-3.852224604238997e+16,-2688300052495448.0,38542.257381782445,15935.45775847033,3496.8062962944014,4.065066546734864e+16
2460686.5,2025-01-11T00:00:00,1.298724629969053e+16,-3.840233601578516e+16,-2662129925535860.5,38455.98631586413,16190.582784862869,3514.62786454197,4.062628353244398e+16
2460687.5,2025-01-12T00:00:00,1.327399028835449e+16,-3.828052285465064e+16,-2635827298754804.5,38367.65572873931,16445.33888856567,3532.305116166442,4.060227621389742e+16
2460688.5,2025-01-13T00:00:00,1.3560067205654602e+16,-3.8156809393518296e+16,-2609393256575431.0,38277.26566802199,16699.70448075865,3549.836149185765,4.057864535544055e+16
2460689.5,2025-01-14T00:00:00,1.3845461678788074e+16,-3.8031198628320216e+16,-2582828897581214.0,38184.81647329512,16953.657908989535,3567.219071849232,4.055539277728321e+16
2460690.5,2025-01-15T00:00:00,1.4130158338583426e+16,-3.790369371684569e+16,-2556135334437628.5,38090.308778215935,17207.177461979027,3584.4520031756333,4.053252027572239e+16
2460691.5,2025-01-16T00:00:00,1.4414141821703316e+16,-3.77742979791623e+16,-2529313693809732.0,37993.74351252693,17460.24137449402,3601.533073492443,4.051002962275411e+16
2460692.5,2025-01-17T00:00:00,1.4697396772862018e+16,-3.764301489800029e+16,-2502365116275711.0,37895.121903972016,17712.827832283896,3618.4604249753734,4.048792256568815e+16
2460693.5,2025-01-18T00:00:00,1.4979907847056842e+16,-3.7509848119099816e+16,-2475290756236437.0,37794.4454801151,17964.914977078748,3635.232212188173,4.046620082676604e+16
2460694.5,2025-01-19T00:00:00,1.526165971181274e+16,-3.737480145152072e+16,-2448091781820986.5,37691.71607005947,18216.480911647323,3651.8466026222245,4.044486610278222e+16
2460695.5,2025-01-20T00:00:00,1.5542637049439392e+16,-3.723787886791436e+16,-2420769374788091.0,37586.9358060654,18467.503704913208,3668.301777235903,4.042392006470898e+16
2460696.5,2025-01-21T00:00:00,1.5822824559300032e+16,-3.709908450475696e+16,-2393324730423623.0,37480.10712506458,18717.961397126182,3684.5959309931623,4.040336435732479e+16
2460697.5,2025-01-22T00:00:00,1.610220696009104e+16,-3.695842266254416e+16,-2365759057434028.0,37371.23277006919,18967.832005086577,3700.7272734011235,4.038320059884671e+16
2460698.5,2025-01-23T00:00:00,1.63807689921318e+16,-3.681589780594647e+16,-2338073577835756.5,37260.31579147424,19217.093527420413,3716.6940290463426,4.0363430380566696e+16
2460699.5,2025-01-24T00:00:00,1.6658495419663826e+16,-3.667151456392502e+16,-2310269526840704.5,37147.35954825074,19465.723949903084,3732.494438129496,4.034405526649217e+16
2460700.5,2025-01-25T00:00:00,1.6935371033158414e+16,-3.652527772980759e+16,-2282348152737658.5,37032.36770902863,19713.70125082855,3748.1267569980782,4.032507679299104e+16
2460701.5,2025-01-26T00:00:00,1.7211380651631812e+16,-3.637719226132417e+16,-2254310716769795.0,36915.344253067684,19961.003406422056,3763.5892586768764,4.0306496468441064e+16
2460702.5,2025-01-27T00:00:00,1.7486509124967466e+16,-3.622726328060213e+16,-2226158493008195.0,36796.29347111458,20207.60839629337,3778.8802333958565,4.028831577288416e+16
2460703.5,2025-01-28T00:00:00,1.7760741336243982e+16,-3.607549607412047e+16,-2197892768221431.8,36675.21996614517,20453.494208928125,3793.9979891151474,4.02705361576854e+16
2460704.5,2025-01-29T00:00:00,1.803406220406844e+16,-3.592189609262297e+16,-2169514841741321.2,36552.12865399021,20698.6388472144,3808.94085204678,4.025315904519727e+16
2460705.5,2025-01-30T00:00:00,1.830645668491368e+16,-3.576646895098993e+16,-2141026025324676.5,36427.02476384336,20943.02033400192,3823.7071671729045,4.023618582842893e+16
2460706.5,2025-01-31T00:00:00,1.8577909775459148e+16,-3.560922042806828e+16,-2112427643011305.8,36299.913838650384,21186.616717690926,3838.295298760118,4.021961787072093e+16
2460707.5,2025-02-01T00:00:00,1.884840651493412e+16,-3.5450156466459984e+16,-2083721030978129.0,36170.80173537847,21429.406077847667,3852.703630869565,4.0203456505425576e+16
2460708.5,2025-02-02T00:00:00,1.911793198746248e+16,-3.528928317226829e+16,-2054907537389535.0,36039.69462516424,21671.36653084414,3866.9305678625483,4.0187703035592856e+16
2460709.5,2025-02-03T00:00:00,1.9386471324408116e+16,-3.5126606814801864e+16,-2025988522243956.5,35906.59899334016,21912.476235518305,3880.9745349012555,4.0172358733662216e+16
2460710.5,2025-02-04T00:00:00,1.9654009706720156e+16,-3.4962133826236628e+16,-1996965357216739.0,35771.52163933818,22152.713398852095,3894.833978444318,4.015742484116049e+16
